# Backtest Trade Data — Manual Entry Template
# คำแนะนำ:
#   - ลบบรรทัดที่เริ่มด้วย # ออกก่อน import ไม่ได้ (ระบบข้ามให้อัตโนมัติ)
#   - entry_time / exit_time ใช้รูปแบบ: YYYY-MM-DD HH:MM
#   - direction: BUY หรือ SELL เท่านั้น
#   - timeframe: 5m, 15m, 1h, 4h, 1d
#   - result: WIN, LOSS, BREAKEVEN
#   - reason: อธิบาย setup ที่เห็น เช่น EMA cross, RSI level, trend alignment
#   - tp_price / sl_price: ใส่ 0 ถ้าไม่ได้ตั้ง
#   - profit_usd: กำไร/ขาดทุน USD (ลบสำหรับขาดทุน, ใส่ 0 ถ้าไม่รู้)
symbol,direction,timeframe,entry_price,exit_price,tp_price,sl_price,entry_time,exit_time,result,profit_usd,reason
EURUSD,BUY,1h,1.08520,1.09105,1.09100,1.08200,2024-01-15 09:30,2024-01-15 14:00,WIN,58.50,"EMA14 ตัด EMA60 ขึ้น ราคาอยู่เหนือ EMA200 RSI>50 MACD bullish crossover"
EURUSD,SELL,1h,1.09350,1.08800,1.08800,1.09700,2024-01-18 10:15,2024-01-18 16:30,WIN,46.00,"EMA14 ตัด EMA60 ลง ราคาต่ำกว่า EMA200 bearish momentum ADX>25"
EURUSD,BUY,1h,1.08900,1.08600,1.09300,1.08600,2024-01-22 11:00,2024-01-22 15:00,LOSS,-30.00,"EMA14 ตัด EMA60 ขึ้น แต่ราคาชน EMA200 resistance ด้านบน trend ยังไม่ชัด"
GBPUSD,BUY,4h,1.27050,1.27850,1.27900,1.26500,2024-01-24 08:00,2024-01-25 12:00,WIN,80.00,"EMA14 EMA60 EMA200 เรียงตัว bullish แนวโน้มขาขึ้น pullback มา EMA60 แล้วเด้ง"
GBPUSD,SELL,4h,1.28100,1.27200,1.27200,1.28700,2024-01-29 14:00,2024-01-30 10:00,WIN,90.00,"Bearish engulfing ที่ EMA200 resistance EMA14 ตัด EMA60 ลง RSI overbought >70"
GBPUSD,BUY,1h,1.27500,1.27300,1.28000,1.27100,2024-02-01 09:00,2024-02-01 13:00,LOSS,-20.00,"EMA cross bullish แต่ MACD histogram ลดลง momentum อ่อน เข้าเร็วเกินไป"
USDJPY,BUY,4h,148.500,149.800,150.000,147.800,2024-02-05 08:00,2024-02-06 14:00,WIN,130.00,"EMA14 EMA60 EMA200 uptrend ชัดเจน pullback มา EMA14 RSI 45 ยังมี room ขึ้น"
USDJPY,SELL,1h,149.200,148.500,148.500,149.800,2024-02-08 10:00,2024-02-08 15:30,WIN,70.00,"Double top ที่ EMA200 resistance EMA14 ตัด EMA60 ลง MACD bearish"
USDJPY,BUY,4h,148.800,149.000,150.500,148.000,2024-02-12 08:00,2024-02-13 08:00,BREAKEVEN,0.00,"EMA alignment bullish แต่ข่าว FOMC กดราคาลง จากนั้น recover ปิด breakeven"
XAUUSD,BUY,1h,2020.50,2038.00,2040.00,2010.00,2024-02-14 09:30,2024-02-14 16:00,WIN,175.00,"Gold breakout เหนือ EMA200 EMA14 EMA60 cross up RSI>55 ADX rising momentum แข็ง"
XAUUSD,SELL,1h,2042.00,2028.00,2025.00,2052.00,2024-02-16 11:00,2024-02-16 15:00,WIN,140.00,"Rejection candle ที่ resistance zone EMA14 ตัด EMA60 ลง MACD bearish divergence"
XAUUSD,BUY,4h,2015.00,2009.00,2050.00,2005.00,2024-02-20 08:00,2024-02-20 16:00,LOSS,-60.00,"EMA alignment ดี แต่ราคา break ต่ำกว่า EMA60 ทันที SL hit support ไม่แข็งพอ"
EURUSD,BUY,1h,1.08200,1.08750,1.08800,1.07800,2024-02-22 10:00,2024-02-22 16:00,WIN,55.00,"Bullish pin bar ที่ EMA200 support EMA14 EMA60 convergence RSI ออกจาก oversold"
EURUSD,SELL,4h,1.09100,1.08400,1.08300,1.09600,2024-02-26 12:00,2024-02-27 10:00,WIN,70.00,"EMA14 EMA60 EMA200 downtrend alignment แรง rally ขึ้นมาแตะ EMA60 แล้ว reject"
GBPUSD,BUY,1h,1.26800,1.26500,1.27300,1.26400,2024-02-28 09:30,2024-02-28 14:00,LOSS,-30.00,"EMA14 ตัด EMA60 ขึ้น แต่ EMA200 อยู่เหนือ resistance ราคายังอยู่ใน downtrend ใหญ่"
